Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,4.205964582,4.318267047,4.173417492,4.367412577,4.245032332,3.971326117,4.0936219,4.201244308,3.717524742,3.964882814,3.688259963,3.621793986,3.580550311,3.395432226,3.973054321,3.929356745,3.656701281,,,,,,,,
Switzerland,9.206972711,8.838863668,8.331186813,8.445567536,7.515140053,6.377305214,6.62447807,6.156116052,6.063147338,5.422566242,5.329659048,5.22586354,5.009010932,5.040402039,5.333269065,4.636781734,4.431710227,4.274266081,4.049043424,4.570751243,4.624779234,4.373226705,4.475189226,4.403478037,4.468553536
Chile,6.126697627,5.980789062,6.437822791,7.0580171,5.91024855,5.061573121,5.283315787,5.410951195,4.897461918,4.022778691,3.283928583,2.760848695,2.86658375,3.302538499,3.724320045,2.882051658,2.886072761,3.495978641,3.567463442,3.734297047,4.768343656,5.329980218,5.234544664,4.620271386,4.20266452
China,,,8.984366661,9.358110976,10.01174241,9.112847893,9.112440788,8.780160369,4.194618398,4.589312251,,,,,,,,,,,,,,,
Ivory Coast,,,,,,,,,,,1.090675067,1.115444516,1.197016551,1.126361817,1.323710428,1.689732049,1.360675992,1.316043607,1.470584282,1.403998556,1.711806596,4.043444591,3.959292551,4.211116689,3.991820518
Cameroon,3.675939154,6.045663672,4.769620252,4.735612925,4.222945635,4.937589437,6.442043793,4.135294296,8.484668013,5.544147875,5.404972407,4.743812751,4.009863439,2.270588679,5.080100786,3.046369978,5.624370975,5.10501903,7.561116558,7.312150618,7.066866763,8.130812621,8.30711907,8.669952379,8.808916609
Democratic Republic of the Congo,,,,,,,,,,,0.116533139,0.098801632,0.010702873,0.009093271,0.478001952,0.12067896,0.111641025,0.076402972,0.070534532,0.359290988,0.000956195,0.035793511,0.051474317,0.376205306,
Congo,1.067607324,0.630758183,,,0.791270286,0.471788398,1.027682315,1.043363193,1.05981093,0.636388157,,,0.535734183,0.447067473,1.361210454,0.433258121,0.408371851,0.661672246,0.551368367,0.59841051,0.923510695,0.933339427,,,
Colombia,7.229243146,10.3647754,9.253375319,9.074494167,8.830446897,8.306622522,9.845262795,8.676250913,7.572536137,7.818785369,7.666790088,8.211566107,7.447107782,6.749950136,7.827285107,7.423247756,5.928577185,6.375837611,7.028183405,7.551987918,11.23460806,13.16612871,11.96026796,12.38738305,13.21798253
Comoros,48.00848762,,,,,,,,25.93478862,37.51008362,42.71282818,45.53148653,42.46988245,50.24876529,41.40284899,40.22019396,42.29581786,43.89024438,,50.17946586,53.19636268,46.71586982,47.27121775,49.33428751,51.12171288
Cape Verde,34.73797307,36.49069747,37.16221247,39.80433362,45.11708228,45.48867908,48.07516332,53.59420881,54.92314514,53.57154835,50.01568251,59.30334758,66.28900171,60.83666492,62.04750547,61.46656151,55.98522007,58.60952294,57.4129478,50.67651983,57.5770253,55.49185585,56.69471642,53.96351441,56.34247828
Costa Rica,20.6551164,19.60465986,19.93738733,19.7613785,20.19548936,25.12652845,22.7438793,21.86512792,22.27047945,22.21174889,22.9065777,20.87056675,22.32142604,23.19682894,20.56348504,19.38627519,18.78779428,18.32638816,20.04995371,18.94130965,19.87635988,20.26034935,19.36278054,18.96087114,18.83212929
Willemstad,39.31413604,38.102594,38.85638832,40.0105982,40.00316807,36.53906439,35.88610123,37.01756562,35.05231434,34.13155128,27.50135655,23.66244297,25.02287661,20.12868303,29.28495413,26.55648882,20.24635373,17.34382497,16.8927267,24.34635685,29.92547498,37.08941421,32.94049141,33.33755593,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,25.68476771,28.8466994,35.96159607,36.04059293,36.24450423,36.09548979,32.38741868,31.21920658,39.77684482
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,19.07838632,21.75649266,23.01074276,22.92499679
Cyprus,43.8101674,40.50686374,40.65914294,41.17072531,42.75099554,42.5783031,41.44669704,40.46611479,36.92339928,34.44694557,32.85825782,31.46089929,30.21232135,23.07219805,19.47688021,16.51586548,17.63340167,18.88416866,19.97393559,19.1515765,18.16424373,19.41579446,19.25829033,18.01519573,16.6744495
Czech Republic,,,,,,,,9.079314477,8.704104049,7.171617661,6.838692514,6.616028409,6.194299391,6.148253077,6.711997175,5.887772879,5.484537238,5.16162954,4.840401657,4.434457479,4.467596914,4.534096415,4.441942689,4.320956467,4.270823734
Germany,4.226951114,4.201741067,4.369723375,4.357954173,4.285245201,4.162771408,3.9036434,3.941016526,3.667244449,3.623086422,3.743970943,3.667173918,3.320899652,3.250562666,3.650017037,3.402945295,3.170996994,3.168342341,3.264246697,3.31080263,3.216575358,3.268189492,3.201267774,3.159273118,3.21432867
Djibouti,2.771597643,2.417472277,2.152020182,4.471149976,3.799166292,4.191655068,4.028361403,3.903449816,2.727297778,2.712079892,2.466417318,3.196068925,2.218291085,2.132881695,4.00593945,4.27682291,4.575033787,4.481445195,0.675465824,0.692443146,0.876450979,1.239360737,0.873006638,1.249159569,
Dominica,39.08457986,36.11161773,34.99675956,31.00188112,32.52397374,33.21543903,37.93860788,37.34747975,43.91493514,46.75109748,44.06391684,49.8508962,50.05267192,48.48988554,52.04490033,54.00293569,55.51028153,47.42115158,48.33530312,77.09978214,75.30961272,73.42867014,74.01065356,70.90356667,
Denmark,5.621811946,5.086513602,5.078327343,5.126790795,5.300414817,4.973903505,5.294922216,5.832784024,5.478666607,5.075679684,4.221771764,3.867967446,3.624238142,3.264155461,3.697731631,3.505695103,3.436078462,3.433022346,3.444111242,3.949283742,3.984864113,4.47972049,4.639660214,4.509159072,
Dominican Republic,42.17902594,44.01334487,45.20199845,45.02959446,48.18832845,48.45979193,50.32193087,48.44376619,48.80865074,45.54998866,46.43243671,45.74705395,42.84479305,44.94163844,50.72599942,33.91874822,30.95676205,31.09017943,31.92033493,33.21024504,36.01121082,37.02724147,37.8276483,37.70752605,
Algeria,,,,,,,,,,,0.97663848,0.685815999,0.527401574,0.580051994,0.750374409,0.534761702,0.392735346,0.392350205,0.475289539,0.496957474,0.915438623,0.751217242,0.453811508,0.442694006,0.363152036
Early,,,,,,7.681504751,7.795386307,7.663703523,7.283743546,7.853879554,8.237791543,7.587878129,6.905447216,6.298518333,8.216665098,7.398687979,6.387291336,6.123891386,6.381955478,6.909566594,8.154265844,8.122855224,8.482844716,8.494717676,8.944026714
Ecuador,6.062203986,5.879785121,5.540367781,6.594118047,7.053320861,7.636305208,7.706569311,7.310792666,5.5684615,5.16605785,4.250940606,3.46171159,3.895397887,3.564186802,4.279759093,4.008299387,3.441455694,3.939648535,4.52799161,5.137725359,7.262106358,8.606744705,8.957610535,8.970275985,8.759592482
Egypt,22.2775264,25.50177936,27.14488903,23.45344388,29.60584378,27.61503795,25.63607847,25.14311439,23.44930036,23.86465632,23.4602387,22.17278579,23.26005676,22.10336207,26.35560906,27.9186258,19.83507959,22.26895165,15.06188163,16.91673928,18.35802541,9.832174945,20.14241499,24.61085109,26.63547387
Eritrea,43.13096543,34.03514149,41.97608799,30.9524273,41.03441628,36.84044642,,,,,,,,,,,,,,,,,,,
Spain,20.43830307,20.19488035,18.98987843,19.77194487,,,,,,,,,,,,,,,,,,,,,
Estonia,20.42147936,22.1841907,19.27403739,19.27936801,21.78004038,18.75275069,16.80844711,17.15708275,15.57414948,14.95141781,13.35624071,12.59505812,10.04574089,10.11534476,,,,,9.521218921,10.452979,10.68171578,10.30866516,10.39032547,10.25114994,10.04994904
Ethiopia,23.06013791,21.39296408,16.03676953,15.96822696,18.70398996,20.65975423,22.34318309,24.53076811,26.70638265,27.20098326,27.62397008,29.06539322,29.81533136,33.87419444,32.62462289,30.87710126,34.26197065,33.02791572,36.55699771,32.99564249,37.93783175,36.20309886,37.73803732,46.53522828,46.50650067
Finland,5.05178821,5.115773208,5.009933433,4.926811938,4.682748301,3.855617038,4.006194311,4.104015304,4.234486283,3.953410662,3.728979029,3.752135375,3.807244392,3.790753816,4.442720143,4.69179313,5.235803947,5.347127402,5.596349556,5.396474837,4.831126544,4.794654951,5.422684104,5.435346997,5.550777361
Fiji,34.04875008,29.11055522,32.07058874,33.14937095,34.34188999,30.05278205,34.53750334,39.12695996,38.43449205,41.93401849,44.82596856,44.35408024,43.81407475,47.20897788,48.45960788,45.65249529,42.54990024,40.7381117,40.62894187,42.89854321,47.9431108,49.86173138,50.38285504,51.49682871,51.01655689
France,8.627937605,8.782198567,,,11.04995149,9.918545496,9.654467861,9.819081507,9.591224824,9.483096033,8.791882347,8.395298048,8.620916018,8.222979051,8.85556815,7.919609067,8.028665391,8.044522639,7.895720264,7.89710179,8.544974708,8.144358729,8.11275566,7.919585965,7.920723981
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,
Federated States of Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,3.19354756,2.551800472,3.155201398,5.173229276,5.152631701,2.834287919,1.655518744,2.924294833,2.511705645,1.75210832,0.23204353,,0.370642897,0.286724262,0.395945843,0.952867218,0.242449023,0.39314476,0.635491528,0.51565706,0.532471529,,,,
United Kingdom,8.561256823,8.294046435,7.955289653,8.237432638,,,,,,,,,,,,,,,,,,,,,
Georgia,,,13.05483029,34.42573662,23.97510981,12.64364959,15.70456953,14.51309412,13.73801038,12.85599939,13.33765855,14.4405983,13.91237264,13.8036911,16.87079443,18.26927028,20.39348205,25.99202909,26.71612674,28.01667191,33.54528798,37.47329043,39.29876857,39.54311864,37.20363136
Ghana,1.896573524,1.853138754,2.115110348,12.00774183,13.14033882,14.62758621,15.59130674,14.9022012,13.81334056,14.52985977,22.18137232,17.80988823,16.48899681,13.71872241,11.15723821,7.480889823,5.460580042,6.864135237,6.232274109,6.72936919,5.533493245,5.449385297,4.496781303,4.42376537,5.822054899
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0.130101784,1.222609626,0.647989302,0.534965624,0.77452133,1.062540572,1.013399829,,,,,,0.087866445,0.166100317,0.436735721,0.133018607,0.140796422,0.080511823,,0.802782526,1.451928059,0.672818255,0.35719128,0.115222055,0.257379226
Gambia,,30.8613014,34.07498249,,,,,,43.05691755,28.59349031,31.62939036,34.33793135,33.1715938,24.82360273,22.98838157,29.56733287,34.41273846,37.85320782,29.82711359,40.91366647,42.87166641,46.95023382,46.02169827,47.99825125,43.5859284
Guinea-Bissau,,,,,,,,,3.379972397,2.636390994,,,,,,7.972283254,5.130163977,4.443166511,,,,,4.38369778,5.257240449,6.483784401
Equatorial Guinea,1.062605752,2.219846082,,,,,,,,,,,,,,,,,,,,,,,
Greece,26.94066869,24.66859168,25.52647514,,35.36409499,31.50323999,30.68048746,33.36532017,29.43107789,26.23740166,26.12263802,25.87084732,23.39808175,22.11424772,27.15135125,23.13168275,24.04211401,23.19891543,23.91353277,25.35927955,28.01916926,27.87643852,27.30064091,26.37669659,28.33436071
Grenada,61.40770888,60.023638,56.13904142,50.08492759,40.3635437,39.45234731,42.103527,52.71627188,57.92724437,43.49213118,47.69221181,57.91512875,61.56169604,61.11622012,59.81713794,60.94832117,59.63851628,59.0824858,57.21462386,81.07489056,82.61901222,83.27355052,83.37202518,88.20589753,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,7.650350641,7.902735562,8.459441677,9.435585637,10.74681762,12.89721078,15.0654978,16.32065293,15.68469024,10.15228426,11.68856117,12.09051441,12.1063986,12.21693249,12.8893078,10.97149062,9.319228452,9.758324157,9.954330036,9.261893066,9.486942938,9.709643597,9.188960474,9.250948364,9.025121343
Guam,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,15.72150477,15.56788954,16.15955743,16.2856716,11.90121988,9.887435351,8.001207729,4.21179302,,,,,,,,,,,,,,,,
Hong Kong,,,,3.919679312,3.930274265,3.789383006,3.809551757,4.482758762,3.699667059,4.185416705,4.21647654,4.336758546,4.622940338,4.771096324,5.321521778,5.795818003,6.270548007,6.543989334,6.943915389,7.463110862,7.010745169,6.305705156,5.921903552,6.210802053,5.069243902
Honduras,5.199412772,6.192433783,6.936205166,7.216494845,9.594691535,10.34278234,10.24506229,11.38734044,13.51362594,12.97214119,12.66387419,13.0977315,12.46742293,12.73940842,14.50864124,12.68800425,10.2944502,10.25512603,9.873992903,10.43734701,9.680767603,8.693127203,8.327580583,8.363048003,7.68849002
Croatia,,,,,31.96266157,37.70356284,40.07032679,40.10048716,52.13203019,45.26258348,45.90210324,43.10541199,42.0672954,44.84325597,45.12967609,38.60010226,39.37893154,38.09503259,41.36726013,40.33237094,35.68635545,37.32418961,37.59754069,36.94380464,37.94348378
Haiti,46.78727386,50.10438413,28.22474281,27.65054773,25.41128638,25.41195156,23.63693665,25.6471147,20.43248766,18.1428014,13.22139221,18.28445386,24.38429651,39.25007698,40.23185367,37.68259371,34.76430451,33.66370139,34.84573832,34.77493518,34.84391837,31.13841224,27.65779146,34.76880384,
Hungary,16.18407751,18.30324527,16.86145308,14.23293775,13.14023792,11.93645125,11.85723874,9.454543403,8.362291218,6.261942502,6.502383788,5.844611818,5.146386524,5.953938588,7.146641176,6.150728636,5.915390055,5.557996052,5.754262882,6.085271235,6.326153023,6.729707126,6.854682151,7.147756734,7.645658099
Ida,,,9.27998109,9.075735812,9.454682647,8.363647165,8.402357021,8.309622679,7.300271822,7.167769415,7.658779044,7.250049775,7.461390287,6.791274918,,,,6.61267355,6.987066943,7.282135613,,,,,
Ida,,10.23146978,11.69417862,13.14691698,10.6311889,7.93202349,8.742749199,8.292433962,7.524721574,8.062865191,7.175942427,7.684515032,7.913856592,7.3172448,8.369829197,7.936104536,6.624841875,7.506969248,7.614742074,8.354315472,9.763452216,10.2324448,10.09786319,9.996367768,10.51642573
Ida,9.878969445,9.353341262,11.54932494,13.32667405,8.29829682,5.276512821,5.508989607,5.673155652,4.723322681,4.312482355,3.892131593,4.073238109,4.003993112,3.70892108,4.679867562,3.697964874,3.490117612,3.748011043,3.624183202,4.541247299,6.236754772,6.93203902,7.758249629,6.991304069,6.18847358
Indonesia,,,,,,,,8.806279835,6.427756948,6.630838756,5.3802544,4.553070212,4.769127756,5.580083929,4.829955898,4.571632308,4.243255124,4.484693572,5.024553806,5.81771625,7.034914615,7.488974802,7.564485471,8.453189767,9.198053424
Ida,,,,,,,,11.5549996,11.06811346,12.98965031,11.12962312,12.26453589,12.6814158,11.81079716,11.49964914,11.8493037,9.921113841,11.07324458,11.23770051,11.7115154,12.02693941,12.19080945,11.53196084,11.91959369,13.57007313
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,6.003500853,5.379024674,4.672944645,5.377673633,5.436142963,4.954650885,4.611618852,4.679233818,4.084303583,,,,4.132071451,4.066427631,4.274449067,5.009438153,5.369238372,5.696352265,5.42657307,5.798366219
Ireland,,,,,,,,,,,4.167283612,4.349106571,4.441242587,4.555287374,4.183464981,3.938134843,4.112745957,3.93672241,4.109497437,3.904171427,3.227862032,3.48357482,3.51037496,3.239211794,2.947962774
Iran,1.081622962,0.61072642,0.970724978,4.399436658,2.512811292,2.277390924,,,,,,,,,,,,,,,,,,,
